prn,epoch,x_km,y_km,z_km,vx,vy,vz,freq_num
R01,2020-01-02 23:45,-14620.0532,-20864.2686,-1402.9570,0.000730,0.237503,-3.551753,1
R02,2020-01-02 23:45,-16263.6899,-8422.4673,17758.1475,-1.489363,-1.919217,-2.283530,-4
R03,2020-01-02 23:45,-7633.1348,8155.6631,22967.7500,-1.809558,-2.559955,0.303472,5
R04,2020-01-03 01:15,-23073.1216,653.3022,10891.1016,1.476111,-0.236126,3.144394,6
R05,2020-01-02 23:45,15300.4341,20382.9634,-1323.1919,0.252785,0.042703,3.570440,1
R06,2020-01-02 23:45,16359.3506,7228.9907,-18216.7100,1.554975,1.944804,2.167533,-4
R07,2020-01-02 23:45,7292.2466,-8549.3154,-22868.8462,1.809853,2.564943,-0.385183,5
R08,2020-01-02 23:45,-5328.5127,-19840.0649,-15065.7231,1.106700,1.756245,-2.697353,6
R09,2020-01-02 23:45,25372.6055,-2120.7271,-812.6978,-0.124681,-0.108932,-3.554789,-2
R10,2020-01-02 23:45,13656.2046,-10451.5996,18855.2881,2.555068,-0.375782,-2.052946,-5
R11,2020-01-02 23:45,2635.4746,-11302.2520,22725.3218,3.090127,-0.324759,-0.523910,0
R12,2020-01-02 23:45,-15107.4614,-7584.4707,19117.7622,2.609610,-0.161663,2.003267,-1
R13,2020-01-02 23:45,-25175.4160,831.7505,3995.1558,0.564183,0.104662,3.518791,-2
R14,2020-01-02 23:45,-20217.9741,8279.6094,-13160.9365,-1.783229,0.299197,2.924253,-7
R15,2020-01-02 23:45,-3696.4600,11127.2607,-22632.2759,-3.087811,0.324850,0.664143,0
R16,2020-01-02 23:45,15733.0493,7280.3037,-18787.4575,-2.554649,0.208801,-2.048995,-1
R17,2020-01-02 23:45,-13917.1523,18395.6924,-10830.5615,0.793957,-1.273235,-3.181567,4
R18,2020-01-02 23:45,-7865.0488,23519.7109,6106.6797,-0.142689,0.852059,-3.472524,-3
R19,2020-01-02 23:45,1814.5713,16205.3755,19620.4053,-1.065535,2.472920,-1.945023,3
R20,2020-01-02 23:45,12179.8945,-2165.9126,22314.1479,-1.414159,2.711696,1.039515,2
R21,2020-01-02 23:45,13798.6245,-18946.1982,10107.3809,-0.769761,1.168428,3.240835,4
R22,2020-01-02 23:45,6359.3325,-22970.3057,-8910.1270,0.327382,-1.202220,3.339012,-3
R23,2020-01-02 23:45,-5910.4111,-10969.6211,-22258.0776,1.229760,-2.794157,1.050345,3
R24,2020-01-03 16:45,-2732.5830,22775.3057,11130.5566,0.064511,-1.539941,3.173016,2
R26,2020-01-02 23:45,10708.5156,1615.3872,23113.1982,-1.365016,2.855089,0.430625,-6
